Famille;Genre;Espece;code_sp;Habitat;Size;Wing_type
Carabidae;Abax;ovalis;abov;woodland;14.3;brachypter
Carabidae;Abax;parallelepipedus;abat;woodland;18.5;brachypter
Carabidae;Abax;parallelus;abpa;woodland;15;brachypter
Carabidae;Acupalpus;dubius;acdu;openland;2.9;macropter
Carabidae;Acupalpus;exiguus;acex;openland;2.8;macropter
Carabidae;Acupalpus;flavicollis;acfl;openland;3.3;macropter
Carabidae;Acupalpus;meridianus;acme;openland;3.7;macropter
Carabidae;Agonum;marginatum;agma;openland;9.5;macropter
Carabidae;Agonum;muelleri;agmu;openland;8;macropter
Carabidae;Agonum;micans;agmi;openland;6.9;macropter
Carabidae;Agonum;afrum;agaf;openland;8;macropter
Carabidae;Agonum;viridicupreum;agvi;openland;9;macropter
Carabidae;Amara;aenea;amae;generalist;7.5;macropter
Carabidae;Amara;communis;amcm;generalist;7;macropter
Carabidae;Amara;convexior;amcv;openland;8;macropter
Carabidae;Amara;eurynota;ameu;openland;11;macropter
Carabidae;Amara;familiaris;amfa;openland;6.5;macropter
Carabidae;Amara;lunicollis;amlu;generalist;7.7;macropter
Carabidae;Amara;montivaga;ammo;openland;8.5;macropter
Carabidae;Amara;ovata;amov;openland;8.8;macropter
Carabidae;Amara;similata;amsi;openland;8.8;macropter
Carabidae;Amara;tibialis;amti;openland;5.3;macropter
Carabidae;Amara;aulica;amau;openland;12.8;macropter
Carabidae;Amara;equestris;ameq;openland;;macropter
Carabidae;Amara;plebeja;ampl;generalist;6.8;macropter
Carabidae;Amara;strenua;zest;openland;9;macropter
Carabidae;Anchomenus;dorsalis;ando;openland;6.7;macropter
Carabidae;Anisodactylus;binotatus;anbi;openland;11;macropter
Carabidae;Asaphidion;curtum;ascu;woodland;4.2;macropter
Carabidae;Badister;bullatus;babu;woodland;5.4;macropter
Carabidae;Badister;lacertosus;bala;openland;6;macropter
Carabidae;Badister;meridionalis;bame;generalist;6.8;macropter
Carabidae;Badister;sodalis;baso;openland;4.3;macropter
Carabidae;Bembidion;quadrimaculatum;bequ;openland;3.2;macropter
Carabidae;Brachinus;crepitans;brcr;openland;8.3;macropter
Carabidae;Brachinus;ganglbaueri;brga;openland;8.1;macropter
Carabidae;Brachinus;explodens;brex;openland;6.2;macropter
Carabidae;Brachinus;sclopeta;brsc;openland;6.4;macropter
Carabidae;Bradycellus;ruficollis;brru;openland;3.2;macropter
Carabidae;Bradycellus;verbasci;brve;openland;5;macropter
Carabidae;Calathus;rotundicollis;caro;woodland;7.8;dimorf
Carabidae;Calathus;luctuosus;calc;woodland;11.5;dimorf
Carabidae;Calathus;melanocephalus;came;generalist;7.2;dimorf
Carabidae;Callistus;lunatus;caln;openland;5.6;macropter
Carabidae;Calosoma;inquisitor;caiq;woodland;16;macropter
Carabidae;Carabus;nemoralis;cane;woodland;23;brachypter
Carabidae;Carabus;granulatus;cagr;generalist;20;dimorf
Carabidae;Carabus;intricatus;cait;woodland;30;brachypter
Carabidae;Carabus;auronitens;caai;woodland;26;brachypter
Carabidae;Carabus;violaceus;cavi;woodland;28.5;brachypter
Carabidae;Carabus;problematicus;capr;woodland;25;brachypter
Carabidae;Carabus;monilis;camo;openland;24.5;brachypter
Carabidae;Carabus;coriaceus;cacr;woodland;35;brachypter
Carabidae;Carabus;auratus;caau;generalist;23.5;brachypter
Carabidae;Carabus;convexus;cacv;openland;17;brachypter
Carabidae;Chlaeniellus;nigricornis;chni;openland;11;macropter
Carabidae;Cicindela;campestris;cica;generalist;12.5;macropter
Carabidae;Clivina;collaris;clco;openland;5;macropter
Carabidae;Clivina;fossor;clfo;openland;5.8;polymorf
Carabidae;Cychrus;attenuatus;cyat;woodland;14;brachypter
Carabidae;Cychrus;caraboides;cyca;woodland;16.3;brachypter
Carabidae;Diachromus;germanus;dige;woodland;9;macropter
Carabidae;Drypta;dentata;drde;openland;8;macropter
Carabidae;Dyschiriodes;globosus;dygl;generalist;2.4;dimorf
Carabidae;Epaphius;secalis;epse;openland;3.5;brachypter
Carabidae;Harpalus;affinis;haaf;generalist;10.2;macropter
Carabidae;Harpalus;atratus;haat;openland;11.8;dimorf
Carabidae;Harpalus;cupreus;hacu;openland;12.3;macropter
Carabidae;Harpalus;dimidiatus;hadm;openland;12.5;macropter
Carabidae;Harpalus;distinguendus;hadt;generalist;9.6;macropter
Carabidae;Harpalus;laevipes;halae;woodland;10.8;macropter
Carabidae;Harpalus;latus;hala;generalist;9.5;macropter
Carabidae;Harpalus;luteicornis;halu;generalist;6.8;macropter
Carabidae;Harpalus;rubripes;haru;generalist;9.5;macropter
Carabidae;Harpalus;rufipalpis;harf;generalist;9.5;macropter
Carabidae;Harpalus;tardus;hata;openland;9.7;macropter
Carabidae;Leistus;ferrugineus;lefe;generalist;6.3;macropter
Carabidae;Leistus;fulvibarbis;lefu;woodland;6.8;macropter
Carabidae;Leistus;rufomarginatus;leru;woodland;8.5;macropter
Carabidae;Leistus;spinibarbis;lesp;woodland;8.3;macropter
Carabidae;Licinus;depressus;lide;openland;10;dimorf
Carabidae;Limodromus;assimilis;lias;woodland;11;macropter
Carabidae;Loricera;pilicornis;lopi;generalist;7;macropter
Carabidae;Metallina;lampros;mela;generalist;3.5;dimorf
Carabidae;Metallina;properans;mepr;openland;3.8;dimorf
Carabidae;Microlestes;maurus;mima;openland;2.6;polymorf
Carabidae;Microlestes;minutulus;mimi;openland;3.1;macropter
Carabidae;Molops;piceus;mopi;woodland;11.5;brachypter
Carabidae;Nebria;brevicollis;nebr;generalist;11.5;macropter
Carabidae;Nebria;salina;nesa;openland;10.8;macropter
Carabidae;Notiophilus;biguttatus;nobi;woodland;4.8;dimorf
Carabidae;Notiophilus;palustris;nopa;generalist;4.8;dimorf
Carabidae;Notiophilus;rufipes;noru;woodland;5.3;macropter
Carabidae;Notiophilus;substriatus;nosu;openland;4.5;macropter
Carabidae;Olisthopus;rotundatus;olro;openland;6.6;dimorf
Carabidae;Oodes;helopioides;oohe;openland;8.5;macropter
Carabidae;Ophonus;azureus;opaz;openland;8;dimorf
Carabidae;Ophonus;melletii;opme;openland;6.5;macropter
Carabidae;Ophonus;schaubergerianus;opsc;openland;8.8;macropter
Carabidae;Ophonus;ardosiacus;opar;openland;11.5;macropter
Carabidae;Oxypselaphus;obscurus;oxob;openland;5.4;dimorf
Carabidae;Panagaeus;bipustulatus;pabi;openland;7;macropter
Carabidae;Panagaeus;cruxmajor;pacr;openland;8.3;macropter
Carabidae;Paratachys;bistriatus;prbi;openland;1.9;macropter
Carabidae;Parophonus;maculicornis;pama;openland;6;macropter
Carabidae;Patrobus;atrorufus;paat;woodland;8.3;brachypter
Carabidae;Philochthus;biguttatus;phbi;openland;4;macropter
Carabidae;Philochthus;guttula;phgu;openland;3.2;dimorf
Carabidae;Philochthus;lunulatus;phlu;openland;3.6;macropter
Carabidae;Philochthus;mannerheimii;phma;woodland;3.1;brachypter
Carabidae;Phyla;obtusa;phob;openland;3.2;macropter
Carabidae;Platyderus;depressus;plde;woodland;7.7;NA
Carabidae;Platynus;livens;plli;woodland;9;macropter
Carabidae;Poecilus;kugelanni;poku;generalist;10.5;macropter
Carabidae;Poecilus;cupreus;pocu;generalist;11;macropter
Carabidae;Poecilus;versicolor;pove;generalist;10;macropter
Carabidae;Polistichus;connexus;poco;openland;8.5;macropter
Carabidae;Pseudoophonus;rufipes;psru;openland;13.5;macropter
Carabidae;Pterostichus;vernalis;ptve;openland;6.7;polymorf
Carabidae;Pterostichus;oblongopunctatus;ptob;woodland;10.5;macropter
Carabidae;Pterostichus;burmeisteri;ptbu;woodland;13.5;brachypterous
Carabidae;Pterostichus;aethiops;ptae;woodland;13.2;brachypter
Carabidae;Pterostichus;pumilio;ptpu;woodland;5.2;brachypterous
Carabidae;Pterostichus;nigrita;ptnt;generalist;10.3;polymorf
Carabidae;Pterostichus;melanarius;ptme;generalist;15;dimorf
Carabidae;Pterostichus;ovoideus;ptov;openland;7.1;brachypterous
Carabidae;Pterostichus;strenuus;ptst;generalist;6;polymorf
Carabidae;Pterostichus;niger;ptni;woodland;18;macropter
Carabidae;Pterostichus;anthracinus;ptan;openland;10.8;dimorf
Carabidae;Pterostichus;cristatus;ptcr;woodland;14.5;brachypter
Carabidae;Pterostichus;madidus;ptma;woodland;15.5;brachypter
Carabidae;Semiophonus;signaticornis;sesi;generalist;6.9;macropterous
Carabidae;Stenolophus;mixtus;stmi;openland;5.5;macropter
Carabidae;Stomis;pumicatus;stpu;woodland;7.4;dimorf
Carabidae;Syntomus;foveatus;syfo;generalist;3.1;brachypter
Carabidae;Syntomus;obscuroguttatus;syob;woodland;3.1;macropter
Carabidae;Syntomus;truncatellus;sytr;openland;2.8;brachypter
Carabidae;Synuchus;vivalis;syvi;openland;7.5;macropter
Carabidae;Trechoblemus;micros;trmi;openland;4.5;macropter
Carabidae;Trechus;cuniculorum;trcu;woodland;3.85;macropter
Carabidae;Trechus;obtusus;trob;generalist;3.7;
Carabidae;Trechus;quadristriatus;trqu;openland;3.8;macropter
Carabidae;Trepanes;gilvipes;trgi;openland;2.7;dimorf
Carabidae;Trichotichnus;nitens;trni;woodland;8;polymorphic
Carabidae;Lebia;marginata;lema;generalist;4.5;macropter
