classement systematique;FD Montargis;F Orléans et alentours;GNB;Vallees2007;n FE;Famille;Sous Famille;Tribu;Genre SousGenre;Genre;(SousGenre);Espèce SousEspèce;Espèce;SousEspèce;Auteur;France;code6;code4;code_sp;Genre SousGenre Espèce;Synonymous;Entomotec validation for the valley reference collection;J. COULON validation for the valley reference collection;altitude (Coulon et al, 2000);(2)altitude classes desender 1986;Altitude Jeannel;"altitude I (lowland-mountain;lowland-atpine)";altitude II (lowland-alpine);humidity (Coulon et al, 2000);humidity Jeannel;Freude Harde lohse  1976;humidity;habitat type desender etal 2008;consistensy (desender 2008);HK desender 1995;(10)habitat preference codes desender 1986;habitat type Jeannel;Habitat type Freude Harde lohse  1976;"habitat type 
(Coulon et al, 2000)";closeness 2;closeness 1;closeness.wing;RLK desender 1995;redlist categories desender etal 2008;(7)mean beetle size(mm) desender 1986;mean-beetle-size(mm)-desender-etal-2008 ou Hurka;Beetle size Ribera et al 1999;mean-beetle-size(mm);(8)wing developmental type desender 1986;Wing development Ribera et al.1999;Wing development Barbaro et al 2009;Wing morphology Cole et al.1999;wing-developmental-type-desender-etal-2008;Wing Hurka et al. 1996;Wing Turin et al. 2000;Wing Jeannel;hing wing development Baguette 1993;wing type;wing1;(9)main reprodutive period desender 1986;breeding season Ribera et al.1999;breeding season Cole et al.2002;Breeding season Barbaro et al 2009;Mating and ovoposition Turin et al 2000;Reproduction Luff 1998;breeding season den boer 1990;reproductive season butterfield 1996;Reproductive seasons Baguette 1993;Breeding season;overwintering Ribera et al.1999;overwintering Cole et al.2002;Overwintering Barbaro et al 2009;Overwintering Turin et al 2000;overwintering butterfield 1996;daily activity Ribera et al.l999.;daily activity Cole et al.2002.;Daily activity Barbaro et al 2009;Daily activity Turin at 2009;Daily activity Greenslade 1963;daily activity Luff 1978;duration of the life cycle Ribera et al.1999;life cycle Cole et al.1999;food of the adult Ribera et al 1999.;Feeding group Purtauf et al 2005;food of the adults Cole et al2002.;Diet Barbaro et al 2009;Diet Turin et al 2000;Diet Larochelle 1990;Diet Zetto ;Diet Freude Harde lohse  1976;Diet coleotteri carabidi 2005;Diet;Adult activity period Barbaro et al 2009;(3)soil type affinity desender 1986;(4)calc soil affinity desender 1986;(5)acid sand clay affinity desender 1986;(6)woodland cover desender 1986;(7)woodland type desender 1986;(8)river rivulets affinity desender 1986;(10)aridity index desender 1986;(11)minimal temp reaction desender 1986;(4)total distribution area desender 1986;Coulon observations;desender observations;Cole observation;Turin observations;Jeannel observations;larochelle observations;zetto observations;Luff observations;den boer observations;butterfield observations;loreau observations;general observations;closeness 1;closeness 2;humidity 1;humidity 2;;;
54;Fmontargis;FD Orléans;GNB;;3202;Carabidae;Pterostichinae;Pterostichini;Abax (Abax);Abax;(Abax);ovalis;ovalis;;(Duftschmid, 1812);Présent;AbAbov;Abov;abov;Abax (Abax) ovalis;;;;<=mountain;-3;;lowland-mountain;lowland-alpine;indifferent;;;indifferent;woodland stenotopic;;woodland (stenotopic);woodland (stenotopic);;;;woodland stenotopic;woodland;woodland-brachypterous;rare;suspectible;13;14.3;;>11,9;constantly brachypterous;NA;NA;NA;brachypter;;;;brachypterous;brachypterous;brachypterous;mainly Spring;NA;NA;NA;spring/autumn;;NA;;autumn;spring/autumn;NA;NA;NA;NA;;NA;NA;NA;mainly nocturnal;NA;NA;NA;NA;NA;carnivorous;NA;NA;NA;carrion in field - meat, earthworm in captivity;NA;;;carnivorous;NA;SL;*;NA;3;2;NA;-2;-3;entirely european;;;;;;;;;;;polyphages;;forest;forest-stenotopic;eurytopic;eurytopic;;;
55;Fmontargis;FD Orléans;GNB;V;3203;Carabidae;Pterostichinae;Pterostichini;Abax (Abax);Abax;(Abax);parallelepipedus;parallelepipedus;;(Piller & Mitterpacher, 1783);Présent;AbAbpa;Abat;abat;Abax (Abax) parallelepipedus;abax ater;yes;;<=mountain;-3;;lowland-mountain;lowland-alpine;indifferent;;;indifferent;woodland eurytopic;;woodland (eurytopic);woodland (eurytopic);;;;woodland eurytopic;woodland;woodland-brachypterous;no risk;safe;18.5;18.5;;>11,9;constantly brachypterous;NA;NA;NA;brachypter;;;;brachypterous;brachypterous;brachypterous;mainly Autumn;NA;NA;NA;spring/autumn;;spring;;autumn;spring/autumn;NA;NA;NA;imago and larvae;;NA;NA;NA;mainly nocturnal;nocturnal;NA;NA;NA;NA;carnivorous;NA;NA;NA;carnivorous (collembola, acarina, spider, mollusk, earthworm…);NA;;;carnivorous;NA;AL;*;NA;2;NA;NA;-2;-2;entirely european;;;;;;;;;reproductive cycle unstable;;polyphages;;forest;forest-eurytopic;eurytopic;eurytopic;;;
56;Fmontargis;FD Orléans;GNB;V;3213;Carabidae;Pterostichinae;Pterostichini;Abax (Abax);Abax;(Abax);parallelus;parallelus;;(Duftschmid, 1812);Présent;AbAbpa;Abpa;abpa;Abax (Abax) parallelus;;yes;;<=mountain;-3;;lowland-mountain;lowland-alpine;indifferent;;;indifferent;woodland stenotopic;;woodland (stenotopic);woodland (stenotopic);;;;woodland stenotopic;woodland;woodland-brachypterous;rare;suspectible;15;15;;>11,9;constantly brachypterous;NA;NA;NA;brachypter;;;;NA;brachypterous;brachypterous;mainly Spring;NA;NA;NA;spring/autumn;;NA;;NA;spring/autumn;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Europe, in the field : worms, flies and spiders. Germany, in captivity : earthworms;NA;;NA;carnivorous;NA;SL;*;NA;2;5;NA;-2;-3;entirely european;;;;;;;;;;;polyphages;;forest;forest-stenotopic;eurytopic;eurytopic;;;
103;;;;V;3255;Carabidae;Harpalinae;;Acupalpus (Acupalpus);Acupalpus;(Acupalpus);dubius;dubius;;Schilsky, 1888;Présent;Acupalpus (Acupalpus) dubius;Acdu;acdu;Acupalpus (Acupalpus) dubius;;no ;validated by J. Coulon;<= hill ;3;;<= hill ;<= hill ;palustrine;;;palustrine;eutrophic-standing-water;;marsh;10;;;;eutrophic-standing-water;eutrophic-standing-water;;no risk;safe;2.9;2.9;;2.9;m;NA;;;macropter;;;;;macropter;;Spring;;;;;;;;;;;;;;;;;;;;;;;NA;NA;NA;NA;NA;NA;NA;;;;;Z+ZL;NA;NA;NA;NA;NA;2;3;E;;;;;;;;;;;;;open-habitat;open-stenotopic;hygrophilous;hygrophilous-stenotopic;;;
104;;;;V;3257;Carabidae;Harpalinae;;Acupalpus (Acupalpus);Acupalpus;(Acupalpus);exiguus;exiguus;;Dejean, 1829;Présent;AcAcex;Acex;acex;Acupalpus (Acupalpus) exiguus;;yes;BN det validated by J. coulon;<= hill ;NA;;<= hill ;<= hill ;palustrine;;;palustrine;eutrophic-standing-water;;eutrophic standing water;2;;;;eutrophic-standing-water;eutrophic-standing-water;;rare;vulnerable;2.8;2.8;;2.8;m;NA;;;macropter;;;;;macropter;;Spring;;;;;;;;;;;;;;;;;;;;;;;NA;NA;NA;NA;NA;NA;NA;;;;;L+ZL;NA;NA;NA;NA;NA;3;NA;A;;;;;;;;;;;;;open-habitat;open-stenotopic;hygrophilous;hygrophilous-stenotopic;;;
101;;;;V;3259;Carabidae;Harpalinae;;Acupalpus (Acupalpus);Acupalpus;(Acupalpus);flavicollis;flavicollis;;(Sturm, 1825);Présent;AcAcfl;Acfl;acfl;Acupalpus (Acupalpus) flavicollis;;no;BN det validated by J. coulon;<= hill ;3;;<= hill ;<= hill ;palustrine;;;palustrine;moist-habitat-eurytopic;;moist habitat-eurytopic;20;;;;moist-habitat-eurytopic;moist-habitat-eurytopic;;no risk;safe;3.3;3.3;;3.3;m;NA;;;macropter;;;;;macropter;;Spring;;;;;;;;;;;;;;;;;;;;;;;NA;NA;NA;NA;NA;NA;NA;;;;;Z+ZL;NA;NA;NA;NA;NA;2;2;C;;;;;;;;;;;;;open-habitat;open-eurytopic;hygrophilous;hygrophilous-eurytopic;;;
102;;;;V;3264;Carabidae;Harpalinae;;Acupalpus (Acupalpus);Acupalpus;(Acupalpus);meridianus;meridianus;;(Linnaeus, 1761);Présent;AcAcme;Acme;acme;Acupalpus (Acupalpus) meridianus;;no;BN det validated by J. coulon;<= hill ;2;;<= hill ;<= hill ;indifferent;;;indifferent;dry-habitat-eurytopic;;dry habitat-eurytopic;19;;;;dry-habitat-eurytopic;dry-habitat-eurytopic;;no risk;safe;3.7;3.7;;3.7;m;NA;;;macropter;;;;;macropter;;Spring;;;;;;;;;;;;;;;;;;;;;;;NA;carnivorous;NA;NA;NA;NA;NA;;;;;L+ZL;NA;NA;NA;NA;NA;3;3;C;;;;;;;;;;;;;open-habitat;open-eurytopic;eurytopic;eurytopic;;;
64;;;;V;3301;Carabidae;Platyninae;;Agonum (Agonum);Agonum;(Agonum);marginatum;marginatum;;(Linnaeus, 1758);Présent;AgAgma;Agma;agma;Agonum (Agonum) marginatum;;no (identified by Cbo during GG trap sorting -> still in an eppendorf);;<=mountain;NA;;<=mountain;<=mountain;ripicolous;;;ripicolous;oligotrophic-standing-water;;oligotrophic standing water;3;;;;oligotrophic-standing-water;oligotrophic-standing-water;;no risk;safe;9.5;9.5;;9.5;m;3;;;macropter;;;;;macropter;;Spring;;;;;;;;;;;;;;;;;;;;;;;generalist predator;NA;NA;NA;NA;NA;NA;;;;;NA;NA;NA;NA;NA;NA;2;2;C;;;;;;;;;;;;;open-habitat;open-eurytopic;hygrophilous;hygrophilous-eurytopic;;;
61;;;;V;3303;Carabidae;Platyninae;;Agonum (Agonum);Agonum;(Agonum);muelleri;muelleri;;(Herbst, 1784);Présent;AgAgmu;Agmu;agmu;Agonum (Agonum) muelleri;;yes;;<=mountain;NA;;<=mountain;<=mountain;hygrophilous;;;hygrophilous;dry-habitat-eurytopic;;dry habitat-eurytopic;19;;;;dry-habitat-eurytopic;dry-habitat-eurytopic;;no risk;safe;8;8;;8;m;3;;;macropter;;;;;macropter;;Spring;;;;;;;;;;;;;;;;;;;;;;;generalist predator;carnivorous;generalist predator;NA;NA;Canada in field Agriotes sputator (this sp of Elateridae is present in France), in captivity (small larvae onf insects, small worms);NA;;;;;AL;NA;NA;NA;NA;NA;NA;NA;A;;;;;;;;;;;;;open-habitat;open-stenotopic;hygrophilous;hygrophilous-eurytopic;;;
63;;;;V;3316;Carabidae;Platyninae;;Agonum (Europhilus);Agonum;(Europhilus);micans;micans;;(Nicolai, 1822);Présent;AgEumi;Agmi;agmi;Agonum (Europhilus) micans;;no;validated by J. Coulon;<= hill ;-3;;<= hill ;<= hill ;hygrophilous;;;hygrophilous;shore-turbulent-water?;;river and riverbanks banks-eutrophic;4,2;;;;shore-turbulent-water?;shore-turbulent-water?;;rare;suspectible;6.9;6.9;;6.9;m;NA;;;macropter;;;;;macropter;;Spring;;;;;;;;;;;;;;;;;;;;;;;NA;NA;NA;NA;NA;NA;NA;;;;;SL;NA;NA;2;5;NA;-2;-4;A;dans coulon europhilus micans;;;;;;;;;;;;eurytopic;eurytopic;hygrophilous;hygrophilous-stenotopic;;;
