"","abat","abov","abpa","amae","amlu","amov","amsi","amti","assp","babu","caau","cacr","cacv","cait","cane","capr","cavi","clfo","dygl","hala","lema","lias","lopi","mela","nebr","nobi","noru","plde","plli","pocu","ptma","ptme","ptni","ptob","ptst","syvi","index","plot","Ptrap","Nper_plot.Ptrap"
"110-4_PE",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"110-4_PE","110-4","PE",3
"110-4_PN",1,0,2,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"110-4_PN","110-4","PN",3
"110-4_PS",0,0,1,0,1,2,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"110-4_PS","110-4","PS",4
"110-4_PW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"110-4_PW","110-4","PW",4
"111-1_PE",4,0,6,0,0,0,0,0,0,0,0,0,9,0,6,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"111-1_PE","111-1","PE",6
"111-1_PN",5,0,3,0,0,0,0,0,0,0,0,0,3,0,5,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"111-1_PN","111-1","PN",6
"111-1_PS",10,0,3,0,0,0,0,0,0,0,0,0,1,0,15,1,30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"111-1_PS","111-1","PS",5
"111-1_PW",7,0,8,0,0,0,0,0,0,0,0,0,0,0,3,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"111-1_PW","111-1","PW",5
"111-3_PE",3,0,2,0,0,0,0,0,0,0,0,0,0,0,4,2,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,"111-3_PE","111-3","PE",6
"111-3_PN",4,0,5,0,1,0,0,0,0,0,0,0,1,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"111-3_PN","111-3","PN",4
"111-3_PS",2,0,9,0,1,0,0,0,0,1,0,0,0,0,2,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,"111-3_PS","111-3","PS",5
"111-3_PW",5,0,4,0,0,0,0,0,0,0,0,0,0,0,10,1,18,0,3,0,0,0,0,0,1,0,0,0,0,0,2,0,3,0,0,0,"111-3_PW","111-3","PW",6
"125-3_PE",3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"125-3_PE","125-3","PE",4
"125-3_PN",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"125-3_PN","125-3","PN",6
"125-3_PS",6,0,5,0,1,0,0,0,0,0,0,0,0,0,0,3,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"125-3_PS","125-3","PS",5
"125-3_PW",4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"125-3_PW","125-3","PW",5
"139-2_PE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"139-2_PE","139-2","PE",4
"139-2_PN",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"139-2_PN","139-2","PN",5
"139-2_PS",0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"139-2_PS","139-2","PS",6
"139-2_PW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"139-2_PW","139-2","PW",4
"139-4_PE",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"139-4_PE","139-4","PE",5
"139-4_PN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"139-4_PN","139-4","PN",3
"139-4_PS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"139-4_PS","139-4","PS",6
"139-4_PW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"139-4_PW","139-4","PW",4
"14-1_PE",5,0,3,0,0,0,0,0,0,0,0,0,0,1,3,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"14-1_PE","14-1","PE",5
"14-1_PN",2,0,1,0,0,0,0,0,0,0,0,0,0,4,4,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"14-1_PN","14-1","PN",6
"14-1_PS",5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,1,0,0,"14-1_PS","14-1","PS",4
"14-1_PW",2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"14-1_PW","14-1","PW",4
"14-2_PE",6,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14-2_PE","14-2","PE",3
"14-2_PN",5,0,2,0,0,0,0,0,0,0,0,0,0,4,3,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"14-2_PN","14-2","PN",5
"14-2_PS",5,0,2,0,0,0,0,0,0,0,0,0,0,0,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14-2_PS","14-2","PS",6
"14-2_PW",3,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"14-2_PW","14-2","PW",6
"144-3_PE",1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"144-3_PE","144-3","PE",2
"144-3_PN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"144-3_PN","144-3","PN",2
"144-3_PS",0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"144-3_PS","144-3","PS",4
"144-3_PW",1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"144-3_PW","144-3","PW",2
"15-2_PE",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"15-2_PE","15-2","PE",2
"15-2_PN",13,0,2,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"15-2_PN","15-2","PN",4
"15-2_PS",4,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"15-2_PS","15-2","PS",5
"15-2_PW",9,0,2,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"15-2_PW","15-2","PW",5
"166-2_PE",1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"166-2_PE","166-2","PE",5
