parcelle;nichoir;n nichoir;plot;cercle;nichoir-cercle;Ptrap;plot_Ptrap;MEL_cercle;MEL_cercle_cat;MEL;Mel_cat;Hmoy;BOULV;CHAR;CHAT;CHP;CHS;CHSP;CH_tot;AUB;GEN;NEF;POM;PS;TREM;G_Ch_PS;ALT;latitude;longitude;nichoir selec polytrap;veg1;taux_veg1;veg2;taux_veg2;hmax;hinter;hmin;hmoy;hsd
14;141;1;14-1;E;141-E;PE;14-1_PE;100;CH_pur_c;100;CH_pur;25.1;0;0;0;0;19;0;19;0;0;0;0;0;0;19;0;47.8;2.6;1;FA;80;NA;NA;26.8;26.4;25.9;26.4;0.5
14;141;1;14-1;N;141-N;PN;14-1_PN;100;CH_pur_c;100;CH_pur;25.1;0;0;0;0;17.4;0.7;18.1;0;0;0;0;0;0;18.1;0;47.8;2.6;1;BRYO;70;FA;30;24.9;24.2;24;24.4;0.5
14;141;1;14-1;S;141-S;PS;14-1_PS;100;CH_pur_c;100;CH_pur;25.1;0;0;0;0;18.4;0;18.4;0;0;0;0;0;0;18.4;0;47.8;2.6;1;FA;80;NA;NA;26;24.7;22.3;24.2;2.6
14;141;1;14-1;W;141-W;PW;14-1_PW;100;CH_pur_c;100;CH_pur;25.1;0;0;0;0;21.5;0;21.5;0;0;0;0;0;0;21.5;0;47.8;2.6;1;FA;50;BRYO;50;26.8;24.8;24.4;25.3;1.3
14;142;2;14-2;E;142-E;PE;14-2_PE;100;CH_pur_c;100;CH_pur;24.7;0;0;0;0;26.6;0;26.6;0;0;0;0;0;0;26.6;0;47.8;2.6;1;FA;80;NA;NA;28;27.3;26.7;27.3;0.7
14;142;2;14-2;N;142-N;PN;14-2_PN;96;CH_pur_c;100;CH_pur;24.7;0;0;0;0;31;0;31;0;0;0;0;1.4;0;32.4;0;47.8;2.6;1;FA;90;NA;NA;25.7;24.3;24.3;24.8;0.8
14;142;2;14-2;S;142-S;PS;14-2_PS;100;CH_pur_c;100;CH_pur;24.7;0;0;0;0;37.8;0;37.8;0;0;0;0;0;0;37.8;0;47.8;2.6;1;FA;60;NA;NA;23.9;23.5;22.7;23.4;0.6
14;142;2;14-2;W;142-W;PW;14-2_PW;100;CH_pur_c;100;CH_pur;24.7;0;0;0;0;18.1;0;18.1;0;0;0.2;0;0;0;18.1;0;47.8;2.6;1;BRYO;60;MOL;30;23.9;23.5;22.7;23.4;0.6
15;152;2;15-2;E;152-E;PE;15-2_PE;100;CH_pur_c;81;CH_dom;27.9;0;0;0;0;21.5;0;21.5;0;0;0;0;0;0;21.5;1.6;47.8;2.6;1;FA;80;MOL;20;28;27.3;27.2;27.5;0.4
15;152;2;15-2;N;152-N;PN;15-2_PN;25;PS_dom_c;81;CH_dom;27.9;0;0;0;0;4.4;0;4.4;0;0;0;0;13.4;0;17.8;0;47.8;2.6;1;FA;90;NA;NA;24.4;23.7;23.4;23.8;0.5
15;152;2;15-2;S;152-S;PS;15-2_PS;100;CH_pur_c;81;CH_dom;27.9;0;0;0;0;29.5;0;29.5;0;0;0;0;0;0;29.5;0;47.8;2.6;1;MOL;70;NA;NA;31.4;30.3;29.6;30.4;0.9
15;152;2;15-2;W;152-W;PW;15-2_PW;100;CH_pur_c;81;CH_dom;27.9;0;0;0;0;20.8;0;20.8;0;0;0;0;0;0;20.8;0;47.8;2.6;1;MOL;50;FA;50;31.3;NA;28.5;29.9;2
45;454;4;45-4;E;454-E;PE;45-4_PE;100;CH_pur_c;99.5;CH_pur;30;0;0;0;0;22;0;22;0;0;0;0;0;0;22;0.7;47.8;2.5;1;MOL;50;NA;NA;29.9;29.2;25.7;27.8;3
45;454;4;45-4;N;454-N;PN;45-4_PN;100;CH_pur_c;99.5;CH_pur;30;0;0;0;2.8;18.8;0;21.6;0;0;0;0;0;0;21.6;0;47.8;2.5;1;MOL;60;NA;NA;30.6;29.9;27.1;28.9;2.5
45;454;4;45-4;S;454-S;PS;45-4_PS;100;CH_pur_c;99.5;CH_pur;30;0;0;0;0;25.2;6.3;31.5;0;0;0;0;0;0;31.5;0.9;47.8;2.5;1;NA;NA;NA;NA;33.1;30.7;30.6;31.9;1.8
45;454;4;45-4;W;454-W;PW;45-4_PW;100;CH_pur_c;99.5;CH_pur;30;0;4.1;0;0;33.4;0;33.4;0;0;0;0;0;0;33.4;2.4;47.8;2.5;1;NA;NA;NA;NA;32.7;31.6;30;31.4;1.4
