Étiquettes de lignes;Nombre de period
111_1_E;6
111_1_N;6
111_1_S;5
111_1_W;5
111_3_E;6
111_3_S;5
111_3_W;6
125_3_N;6
125_3_S;5
125_3_W;5
139_2_N;5
139_2_S;6
139_4_E;5
139_4_S;6
14_1_E;5
14_1_N;6
14_1_W;5
14_2_N;5
14_2_S;6
14_2_W;6
15_2_S;5
15_2_W;5
166_2_E;5
166_2_S;6
166_2_W;6
166_4_E;6
166_4_N;6
166_4_S;6
166_4_W;5
215_2_E;6
215_2_N;5
215_2_S;6
215_2_W;6
215_3_E;6
215_3_N;6
215_3_S;6
215_3_W;6
216_4_E;5
216_4_N;6
216_4_S;6
216_4_W;6
219_1_E;6
219_1_N;6
219_1_S;6
219_1_W;6
219_4_E;6
219_4_N;6
219_4_S;6
219_4_W;6
245_2_E;6
245_2_N;6
245_2_S;6
245_2_W;6
255_1_E;6
255_1_N;5
255_1_S;6
255_1_W;6
45_4_W;6
50_3_N;6
50_3_S;5
50_3_W;6
61_3_E;5
61_4_E;5
61_4_N;5
61_4_S;5
61_4_W;5
75_4_N;6
75_4_S;6
