stand;plot;plot_Ptrap;Nb_sessions_OK;mel_trap;mel_plot;cat_mel_plot;mel_stand;G_all_plot;SR_all;Abdce_all;RS_brachypterous;Abdce_brachypterous;RS_macropterous-di_polymorphic;Abdce_macropterous-di_polymorphic;RS_open_generalist;Abdce_open_generalist;RS_woodland;Abdce_woodland
111;111_1;111_1_E;6;86;93;oak;91;15.875;7;37;7;37;0;0;1;9;6;28
111;111_1;111_1_N;6;100;93;oak;91;15.875;7;36;6;35;1;1;1;3;6;33
111;111_1;111_1_S;5;86;93;oak;91;15.875;7;68;6;67;1;1;2;2;5;66
111;111_1;111_1_W;5;100;93;oak;91;15.875;5;35;5;35;0;0;0;0;5;35
111;111_3;111_3_E;6;69;85;oak;91;20.15;6;46;5;42;1;4;0;0;6;46
111;111_3;111_3_S;5;79;85;oak;91;20.15;8;46;5;42;3;4;2;3;6;43
111;111_3;111_3_W;6;90;85;oak;91;20.15;9;47;6;40;3;7;2;4;7;43
125;125_3;125_3_N;6;0;1;pine;1;24.725;5;12;5;12;0;0;1;1;4;11
125;125_3;125_3_S;5;0;1;pine;1;24.725;6;28;4;26;2;2;2;2;4;26
125;125_3;125_3_W;5;0;1;pine;1;24.725;4;29;4;29;0;0;0;0;4;29
139;139_2;139_2_N;5;4;1;pine;2;23.575;3;4;3;4;0;0;0;0;3;4
139;139_2;139_2_S;6;0;1;pine;2;23.575;5;25;5;25;0;0;2;3;3;22
139;139_4;139_4_E;5;0;4;pine;2;17.85;3;7;3;7;0;0;0;0;3;7
139;139_4;139_4_S;6;4;4;pine;2;17.85;3;5;2;4;1;1;1;1;2;4
14;14_1;14_1_E;5;100;100;oak;100;19.25;7;20;6;19;1;1;1;1;6;19
14;14_1;14_1_N;6;100;100;oak;100;19.25;7;18;6;16;1;2;0;0;7;18
14;14_1;14_1_W;5;100;100;oak;100;19.25;4;5;3;4;1;1;2;2;2;3
14;14_2;14_2_N;5;96;99;oak;100;28.775;7;20;5;17;2;3;0;0;7;20
14;14_2;14_2_S;6;100;99;oak;100;28.775;5;16;5;16;0;0;0;0;5;16
14;14_2;14_2_W;6;100;99;oak;100;28.775;6;10;5;9;1;1;0;0;6;10
15;15_2;15_2_S;5;100;81;oak;81;22.4;7;17;6;16;1;1;1;1;6;16
15;15_2;15_2_W;5;100;81;oak;81;22.4;5;15;5;15;0;0;1;1;4;14
166;166_2;166_2_E;5;69;55;mixed;66;20.975;4;11;4;11;0;0;0;0;4;11
166;166_2;166_2_S;6;21;55;mixed;66;20.975;5;16;5;16;0;0;0;0;5;16
166;166_2;166_2_W;6;81;55;mixed;66;20.975;5;19;5;19;0;0;0;0;5;19
166;166_4;166_4_E;6;68;85;oak;66;24.15;5;20;5;20;0;0;0;0;5;20
166;166_4;166_4_N;6;100;85;oak;66;24.15;6;15;6;15;0;0;0;0;6;15
