stand;plot;mixture_stand;mixture_plot;cat_mixture_plot;G_all_plot;AEGCAU;ANTTRI;CARCAR;CERBRA;COCCOC;COLOEN;COLPAL;CORCOR;CUCCAN;DENMAJ;DENMED;DENMIN;ERIRUB;FICHYP;FRICOE;GARGLA;ORIORI;PARATE;PARCAE;PARCRI;PARMAJ;PARPAL;PHOPHO;PHYBON;PHYCOL;PHYSIB;PHYTRO;PICVIR;PRUMOD;REGIGN;REGREG;SITEUR;STRTUR;STUVUL;SYLATR;TROTRO;TURMER;TURPHI;TURVIS;SR_all;SR_Generalist1;SR_Oak;SR_Pine;SR_Generalist2;SR_Oak_Mixed;SR_Pine_Mixed;Abdce_all;Abdce_Generalist1;Abdce_Oak;Abdce_Pine;Abdce_Generalist2;Abdce_Oak_Mixed;Abdce_Pine_Mixed
110;110_1;54;55;mixed;25;0;1;0;1;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;1;1;0;1;1;1;1;0;0;0;0;0;1;0;1;1;1;0;0;0;14;12;1;1;9;3;0;16;14;1;1;11;3;0
110;110_2;54;68;mixed;25;0;0;0;0;1;0;0;0;0;1;0;0;2;0;2;0;0;0;1;1;1;1;1;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;13;7;4;2;6;1;0;15;9;4;2;8;1;0
110;110_3;54;56;mixed;25;0;0;0;1;0;0;0;0;0;1;1;0;1;0;4;0;0;0;1;1;0;0;0;0;3;1;0;0;1;0;1;2;0;0;1;0;0;0;0;13;7;3;3;5;2;0;19;12;4;3;10;2;0
111;111_1;91;61;mixed;19;0;0;0;2;0;0;2;1;0;1;0;0;2;0;4;0;0;0;2;0;3;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;10;8;2;0;8;0;0;19;16;3;0;16;0;0
111;111_2;91;69;mixed;19;0;1;0;1;0;0;1;0;0;1;0;0;1;0;3;0;0;0;3;1;3;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;1;0;0;12;9;2;1;8;1;0;20;13;6;1;12;1;0
111;111_3;91;76;mixed;19;0;0;0;1;0;0;1;1;0;2;0;0;1;0;3;0;0;0;1;3;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;12;9;2;1;7;2;0;17;12;2;3;10;2;0
125;125_1;1;5;pine;27;0;0;0;0;0;0;1;0;0;0;0;0;1;0;3;1;0;0;0;1;0;0;0;2;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;10;9;0;1;6;3;0;13;12;0;1;9;3;0
125;125_2;1;7;pine;27;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;2;0;0;1;2;1;0;0;0;0;0;0;0;0;1;1;0;0;0;8;8;0;0;5;3;0;12;12;0;0;9;3;0
125;125_3;1;12;pine;27;0;0;0;1;0;0;0;0;0;2;0;0;1;0;3;2;0;0;0;1;1;1;0;2;0;2;0;0;0;0;1;1;0;0;0;2;0;0;0;13;9;2;2;6;3;0;20;16;2;2;10;6;0
139;139_1;2;7;pine;19;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;1;0;2;1;0;0;1;3;1;0;0;0;0;1;0;1;0;0;2;0;0;1;12;9;0;3;6;3;0;18;14;0;4;10;4;0
