Piege;abat;abov;abpa;amlu;amsi;amti;babu;caau;cacr;cacv;cait;cane;capr;cavi;dygl;lema;lias;mela;nebr;nobi;noru;plli;pocu;ptma;ptme;ptni;ptob;ptst;RS_all;Abdce_all;RS_brachypterous;Abdce_brachypterous;RS_macropterous-di_polymorphic;Abdce_macropterous-di_polymorphic;RS_open_generalist;Abdce_open_generalist;RS_woodland;Abdce_woodland
111_1_E;4;0;6;0;0;0;0;0;0;9;0;6;3;8;0;0;0;0;0;0;0;0;0;1;0;0;0;0;7;37;7;37;0;0;1;9;6;28
111_1_N;5;0;3;0;0;0;0;0;0;3;0;5;1;18;0;0;0;0;0;0;0;0;0;0;0;0;1;0;7;36;6;35;1;1;1;3;6;33
111_1_S;11;0;3;0;0;0;0;0;0;1;0;17;2;33;0;0;0;0;1;0;0;0;0;0;0;0;0;0;7;68;6;67;1;1;2;2;5;66
111_1_W;7;0;8;0;0;0;0;0;0;0;0;3;6;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;35;5;35;0;0;0;0;5;35
111_3_E;3;0;2;0;0;0;0;0;0;0;0;4;2;31;0;0;0;0;0;0;0;0;0;0;0;4;0;0;6;46;5;42;1;4;0;0;6;46
111_3_S;2;0;9;1;0;0;1;0;0;0;0;3;0;27;0;0;0;0;0;0;0;0;0;1;2;0;0;0;8;46;5;42;3;4;2;3;6;43
111_3_W;5;0;4;0;0;0;0;0;0;0;0;10;1;18;3;0;0;0;1;0;0;0;0;2;0;3;0;0;9;47;6;40;3;7;2;4;7;43
125_3_N;1;0;1;0;0;0;0;0;0;1;0;0;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;12;5;12;0;0;1;1;4;11
125_3_S;6;0;5;1;0;0;0;0;0;0;0;0;3;12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;6;28;4;26;2;2;2;2;4;26
125_3_W;4;0;1;0;0;0;0;0;0;0;0;0;8;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;29;4;29;0;0;0;0;4;29
139_2_N;1;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;3;4;0;0;0;0;3;4
139_2_S;0;0;0;0;0;0;0;2;0;1;0;1;10;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;25;5;25;0;0;2;3;3;22
139_4_E;1;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;7;3;7;0;0;0;0;3;7
139_4_S;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;5;2;4;1;1;1;1;2;4
14_1_E;5;0;3;0;0;0;0;0;0;0;1;3;1;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;7;20;6;19;1;1;1;1;6;19
14_1_N;2;0;1;0;0;0;0;0;0;0;4;4;1;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;7;18;6;16;1;2;0;0;7;18
14_1_W;2;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4;5;3;4;1;1;2;2;2;3
14_2_N;5;0;3;0;0;0;0;0;0;0;4;3;2;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;7;20;5;17;2;3;0;0;7;20
14_2_S;5;0;2;0;0;0;0;0;0;0;0;3;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;16;5;16;0;0;0;0;5;16
14_2_W;3;0;2;0;0;0;0;0;0;0;1;0;1;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;6;10;5;9;1;1;0;0;6;10
15_2_S;4;0;0;0;0;0;0;1;0;0;1;2;2;6;0;0;0;0;0;0;0;0;0;0;0;0;1;0;7;17;6;16;1;1;1;1;6;16
15_2_W;9;0;2;0;0;0;0;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;15;5;15;0;0;1;1;4;14
166_2_E;1;0;0;0;0;0;0;0;0;0;0;3;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;11;4;11;0;0;0;0;4;11
166_2_S;7;1;1;0;0;0;0;0;0;0;0;1;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;16;5;16;0;0;0;0;5;16
166_2_W;3;0;2;0;0;0;0;0;0;0;0;7;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;19;5;19;0;0;0;0;5;19
166_4_E;1;0;1;0;0;0;0;0;0;0;0;5;7;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;20;5;20;0;0;0;0;5;20
166_4_N;1;0;1;0;0;0;0;0;0;0;0;1;7;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;6;15;6;15;0;0;0;0;6;15
