plot;lat;lon;parcelle;placette;plotIBP;Abdera.bifasciata;Abdera.quadrifasciata;Acanthocinus.aedilis;Agathidium.sp.;Agrilus.angustulus;Alosterna.tabacicolor;Ampedus.balteatus;Ampedus.cinnaberinus;Ampedus.glycerus;Ampedus.nigerrimus;Ampedus.quercicola;Ampedus.sanguineus;Ampedus.sanguinolentus;Anaspis.fasciata;Anaspis.flava;Anaspis.garneysi;Anaspis.melanopa;Anaspis.thoracica;Anidorus.nigrinus;Anisotoma.humeralis;Anthribus.nebulosus;Aplocnemus.impressus;Arhopalus.rusticus;Aspidiphorus.orbiculatus;Aulonothroscus.brevicollis;Bitoma.crenata;Calambus.bipustulatus;Carpophilus.sp.;Cartodere.nodifer;Cerambyx.scopolii;Cerylon.deplanatum;Cerylon.ferrugineum;Cerylon.histeroides;Cetonia.aurata;Chrysanthia.geniculata;Cis.castaneus;Cis.micans;Cis.rugulosus;Clerus.mutillarius;Clytus.arietis;Colydium.elongatum;Cordylepherus.viridis;Corticaria.sp.;Corticeus.unicolor;Cortinicara.gibbosa;Cortodera.humeralis;Cryphalus.asperatus;Cryptarcha.strigata;Cryptarcha.undata;Cryptolestes.duplicatus;Crypturgus.cinereus;Crypturgus.pusillus;Cyclorhipidion.bodoanus;Dacne.bipustulata;Dasytes.caeruleus;Dendroctonus.micans;Denticollis.linearis;Dermestes.lardarius;Diaperis.boleti;Dissoleucas.niveirostris;Dorcatoma.sp.;Dromaeolus.barnabita;Enedreytes.sepicola;Enicmus.brevicornis;Enicmus.histrio;Enicmus.rugosus;Enicmus.testaceus;Enicmus.transversus;Epuraea.sp.;Ernobius.sp.;Euglenes.oculatus;Eulagius.filicornis;Gastrallus.immarginatus;Glischrochilus.hortensis;Glischrochilus.quadriguttatus;Glischrochilus.quadripunctatus;Globicornis.nigripes;Gnathotrichus.materiarius;Gonodera.luperus;Grammoptera.abdominalis;Grammoptera.ruficornis;Grammoptera.ustulata;Hemicoelus.fulvicornis;Hemicoelus.nitidus;Hylastes.ater;Hylastes.attenuatus;Hylastes.cunicularius;Hylastes.linearis;Hylastes.opacus;Hylastinus.obscurus;Hylesinus.fraxini;Hylis.cariniceps;Hylis.olexai;Hylis.simonae;Hylobius.abietis;Hylurgops.palliatus;Hylurgus.ligniperda;Ischnodes.sanguinicollis;Ischnomera.cyanea;Isoriphis.melasoides;Leiopus.femoratus;Leiopus.nebulosus;Leptura.aurulenta;Lissodema.denticolle;Litargus.connexus;Lucanus.cervus;Malthinus.sp.;Megatoma.undata;Melandrya.barbata;Melandrya.caraboides;Melanotus.villosus;Melasis.buprestoides;Mesosa.curculionoides;Mesosa.nebulosa;Microrhagus.pygmaeus;Mycetochara.maura;Mycetophagus.atomarius;Mycetophagus.piceus;Mycetophagus.quadriguttatus;Mycetophagus.quadripustulatus;Nalassus.laevioctostriatus;Nemozoma.elongatum;Octotemnus.glabriculus;Oligomerus.brunneus;Orchesia.undulata;Orthocis.alni;Orthocis.coluber;Orthocis.vestitus;Orthotomicus.erosus;Oxylaemus.cylindricus;Pachytodes.cerambyciformis;Palorus.depressus;Paromalus.parallelepipedus;Phloeotribus.rhododactylus;Phymatodes.testaceus;Pityogenes.bidentatus;Pityophagus.ferrugineus;Pityophthorus.buyssoni;Pityophthorus.pityographus;Pityophthorus.pubescens;Platycerus.caraboides;Platyrhinus.resinosus;Platysoma.elongatus;Platystomos.albinus;Poecilium.alni;Pogonocherus.ovatus;Prionychus.melanarius;Protaetia.fieberi;Protaetia.lugubris;Pseudocistela.ceramboides;Ptinomorphus.imperialis;Pyrochroa.coccinea;Pyrrhidium.sanguineum;Rhagium.bifasciatum;Rhagium.mordax;Rhagium.sycophanta;Rhizophagus.bipustulatus;Rhizophagus.depressus;Rhizophagus.ferrugineus;Rhizophagus.parallelocollis;Rhizophagus.picipes;Ropalopus.femoratus;Rutpela.maculata;Salpingus.planirostris;Salpingus.ruficollis;Scaphidema.metallicum;Scolytus.intricatus;Sericoderus.sp;Silvanus.unidentatus;Soronia.grisea;Soronia.punctatissima;Sphaeriestes.castaneus;Spondylis.buprestoides;Stenagostus.rhombeus;Stenurella.melanura;Stephostethus.angusticollis;Stephostethus.sp.;Stictoleptura.rubra;Stictoleptura.scutellata;Synchita.humeralis;Taphrorychus.villifrons;Thanasimus.formicarius;Thymalus.limbatus;Tomicus.piniperda;Tomoxia.bucephala;Trachodes.hispidus;Trichoceble.floralis;Triplax.lepida;Triplax.rufipes;Triplax.russica;Tritoma.bipustulata;Tropideres.albirostris;Trypodendron.domesticum;Trypodendron.signatum;Uleiota.planatus;Valgus.hemipterus;Vincenzellus.ruficollis;Xestobium.rufovillosum;Xyleborinus.saxesenii;Xyleborus.dispar;Xyleborus.dryographus;Xyleborus.monographus;Xylosandrus.germanus;SR_all;Abdce_all
1101.S;47.81371;2.49362;P110;P110-N1-S;1101.S;0;0;0;0;0;0;8;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;7;0;0;0;0;3;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;4;0;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;3;1;0;1;0;0;1;0;0;0;0;0;0;0;0;2;3;0;0;1;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;1;0;0;0;0;0;0;1;0;5;0;1;21;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;1;0;3;0;0;1;1;40;132
1104.S;47.81472;2.49107;P110;P110-N4-S;1104.S;0;0;0;0;0;0;8;0;3;8;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;4;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;2;0;2;1;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;1;0;1;0;0;1;0;19;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;3;0;0;0;32;78
1111.S;47.81644;2.48638;P111;P111-N1-S;1111.S;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;8;1;0;1;0;7;0;0;0;4;0;3;0;1;3;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;1;0;0;2;2;0;0;0;0;0;1;0;0;0;11;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;2;34;104
1112.S;47.81707;2.48881;P111;P111-N2-S;111.R;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;4;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;2;6;0;1;2;0;0;2;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;5;0;0;0;0;0;0;1;0;0;1;0;0;20;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;2;0;0;1;0;43;141;0;0;2;38;287
1113.S;47.81688;2.48998;P111;P111-N3-S;111.R;0;0;0;0;0;0;16;0;0;2;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;12;0;0;0;0;1;0;0;0;2;1;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;3;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;3;0;0;0;99;0;0;0;0;0;0;0;0;0;0;7;3;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;2;1;0;1;1;38;195
1253.S;47.82404;2.51409;P125;P125-N3-S;125.R;0;0;0;0;0;0;15;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;5;0;0;0;3;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;3;0;4;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;6;1;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;2;0;0;0;3;0;3;0;0;0;0;0;0;1;0;1;2;0;0;3;0;13;13;0;0;2;36;134
1254.S;47.8246;2.51391;P125;P125-N4-S;125.R;0;0;0;0;0;0;18;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;14;0;5;0;0;0;0;0;0;0;8;0;0;0;17;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;8;0;0;0;0;0;0;0;0;0;1;0;0;1;0;11;14;0;0;3;31;129
1392.S;47.835;2.50369;P139;P139-N2-S;1392.S;0;0;0;0;0;0;20;0;6;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;8;1;3;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;1;0;6;0;0;0;0;0;0;0;1;1;5;0;0;2;0;25;1;0;0;7;33;142
1394.S;47.83583;2.50466;P139;P139-N4-S;1394.S;0;0;0;0;0;0;8;0;8;0;1;0;1;0;0;0;0;0;0;1;0;2;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;6;0;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;7;2;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;4;1;0;0;0;0;0;0;16;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;1;0;71;0;0;20;0;0;0;0;0;0;1;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;10;0;0;1;0;21;1;0;0;4;40;228
141.S;47.77997;2.57711;P14;P14-N1-S;na;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;3;0;1;0;10;0;0;2;0;10;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;2;7;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;5;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;2;0;0;0;2;0;0;60;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;3;0;0;6;0;38;146
