Piege;ptma;amlu;ptni;cait;nobi;cacv;cacr;caau;cane;abpa;capr;cavi;abat
111_1_E;1;0;0;0;0;9;0;0;6;6;3;8;4
111_1_N;0;0;0;0;0;3;0;0;5;3;1;18;5
111_1_S;0;0;0;0;0;1;0;0;17;3;2;33;11
111_1_W;0;0;0;0;0;0;0;0;3;8;6;11;7
111_3_E;0;0;4;0;0;0;0;0;4;2;2;31;3
111_3_S;1;1;0;0;0;0;0;0;3;9;0;27;2
111_3_W;2;0;3;0;0;0;0;0;10;4;1;18;5
125_3_N;0;0;0;0;0;1;0;0;0;1;1;8;1
125_3_S;0;1;0;0;0;0;0;0;0;5;3;12;6
125_3_W;0;0;0;0;0;0;0;0;0;1;8;16;4
139_2_N;0;0;0;0;0;0;0;0;0;0;1;2;1
139_2_S;0;0;0;0;0;1;0;2;1;0;10;11;0
139_4_E;0;0;0;0;0;0;0;0;0;0;2;4;1
139_4_S;0;0;0;0;0;0;0;0;0;0;1;3;0
14_1_E;0;0;0;1;0;0;0;0;3;3;1;6;5
14_1_N;0;0;0;4;2;0;0;0;4;1;1;4;2
14_1_W;0;0;0;0;0;0;0;1;0;0;0;1;2
14_2_N;0;0;0;4;2;0;0;0;3;3;2;0;5
14_2_S;0;0;0;0;0;0;0;0;3;2;5;1;5
14_2_W;0;0;0;1;1;0;0;0;0;2;1;2;3
15_2_S;0;0;0;1;0;0;0;1;2;0;2;6;4
15_2_W;0;0;0;1;0;0;0;1;2;2;0;0;9
166_2_E;0;0;0;0;0;0;0;0;3;0;3;4;1
166_2_S;0;0;0;0;0;0;0;0;1;1;0;6;7
166_2_W;0;0;0;0;0;0;0;0;7;2;2;5;3
166_4_E;0;0;0;0;0;0;0;0;5;1;7;6;1
166_4_N;1;0;0;0;0;0;0;0;1;1;7;4;1
166_4_S;0;1;0;0;0;0;0;0;3;7;0;6;2
166_4_W;0;0;0;0;0;0;0;0;7;5;1;6;6
215_2_E;0;0;0;0;1;0;0;0;0;5;7;5;3
215_2_N;0;0;0;0;1;1;0;1;0;10;8;5;22
215_2_S;0;1;0;0;0;0;1;1;1;6;2;9;5
215_2_W;0;0;0;0;0;0;3;0;1;2;1;12;6
215_3_E;0;0;0;0;0;0;4;0;0;1;2;14;4
215_3_N;0;0;0;0;0;0;1;0;0;0;4;6;0
215_3_S;0;0;0;0;0;0;4;0;1;7;8;8;5
215_3_W;0;1;0;0;0;0;0;0;0;6;5;1;5
216_4_E;0;0;0;0;3;0;0;0;0;2;4;2;13
216_4_N;0;0;0;0;0;0;1;0;0;2;1;20;2
216_4_S;1;1;0;0;0;0;2;0;0;2;1;14;6
216_4_W;0;0;0;0;1;0;6;0;1;6;4;14;7
219_1_E;0;0;0;0;0;0;1;1;1;0;2;26;0
219_1_N;1;0;2;0;0;0;2;2;0;2;3;7;1
219_1_S;0;0;0;0;0;0;0;0;0;0;3;20;0
219_1_W;0;0;18;0;0;0;0;0;0;0;5;22;0
219_4_E;0;1;1;0;3;0;1;0;0;1;4;15;7
219_4_N;0;0;0;0;0;0;0;1;0;0;7;16;5
219_4_S;0;0;0;0;0;0;1;0;2;0;7;21;9
219_4_W;0;0;5;0;0;0;3;0;0;1;2;6;5
245_2_E;0;0;0;0;0;1;1;0;0;10;1;7;21
245_2_N;0;0;0;0;0;1;1;0;0;6;5;21;12
245_2_S;0;0;0;0;0;1;2;2;0;2;9;22;6
245_2_W;0;0;0;0;0;0;0;0;0;0;1;12;2
255_1_E;0;0;0;0;0;0;2;1;23;3;0;2;10
255_1_N;0;0;0;0;0;0;1;0;9;8;1;4;6
255_1_S;1;0;0;0;1;1;0;0;8;5;1;2;5
255_1_W;0;0;0;0;0;5;0;0;31;8;6;0;1
45_4_W;0;0;0;2;0;0;0;1;5;8;3;1;24
50_3_N;0;0;6;0;0;0;0;12;2;0;3;7;5
50_3_S;0;1;0;0;0;0;0;3;0;5;2;0;5
50_3_W;0;0;0;0;0;0;0;7;2;1;0;1;7
61_3_E;0;0;0;0;1;0;0;1;0;0;0;0;1
61_4_E;0;0;1;0;0;1;0;0;2;0;0;0;1
61_4_N;0;0;0;0;0;0;0;2;0;2;2;0;4
61_4_S;0;0;0;0;0;0;0;2;0;1;0;1;4
61_4_W;0;0;0;1;0;0;0;1;0;5;0;0;2
75_4_N;0;0;0;0;0;1;0;0;7;7;2;5;10
75_4_S;0;0;0;1;0;0;0;1;12;20;4;3;19
