Famille;Genre;Espece;code_sp;habitat;stratification;hygrophily;overwintering.stage;wing.type;breeding.season;diurnality;feeding.guild;Size;Piege;111_1_E;111_1_N;111_1_S;111_1_W;111_3_E;111_3_S;111_3_W;125_3_N;125_3_S;125_3_W;139_2_N;139_2_S;139_4_E;139_4_S;14_1_E;14_1_N;14_1_W;14_2_N;14_2_S;14_2_W;15_2_S;15_2_W;166_2_E;166_2_S;166_2_W;166_4_E;166_4_N;166_4_S;166_4_W;215_2_E;215_2_N;215_2_S;215_2_W;215_3_E;215_3_N;215_3_S;215_3_W;216_4_E;216_4_N;216_4_S;216_4_W;219_1_E;219_1_N;219_1_S;219_1_W;219_4_E;219_4_N;219_4_S;219_4_W;245_2_E;245_2_N;245_2_S;245_2_W;255_1_E;255_1_N;255_1_S;255_1_W;45_4_W;50_3_N;50_3_S;50_3_W;61_3_E;61_4_E;61_4_N;61_4_S;61_4_W;75_4_N;75_4_S
Carabidae;Abax;parallelepipedus;abat;generalist;epigeal;3;Imago;brachypter;spring/autumn;night-active;predator;18.5;abat;4;5;11;7;3;2;5;1;6;4;1;0;1;0;5;2;2;5;5;3;4;9;1;7;3;1;1;2;6;3;22;5;6;4;0;5;5;13;2;6;7;0;1;0;0;7;5;9;5;21;12;6;2;10;6;5;1;24;5;5;7;1;1;4;4;2;10;19
Carabidae;Abax;ovalis;abov;woodland;epigeal;4;Imago;brachypter;spring/autumn;night-active;predator;14.3;abov;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;5
Carabidae;Abax;parallelus;abpa;woodland;epigeal;4;Imago;brachypter;spring/autumn;night-active;predator;15;abpa;6;3;3;8;2;9;4;1;5;1;0;0;0;0;3;1;0;3;2;2;0;2;0;1;2;1;1;7;5;5;10;6;2;1;0;7;6;2;2;2;6;0;2;0;0;1;0;0;1;10;6;2;0;3;8;5;8;8;0;5;1;0;0;2;1;5;7;20
Carabidae;Amara;lunicollis;amlu;edge;epigeal;3;Imago;macropter;spring;day-active;phytophagous;7.7;amlu;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Carabidae;Amara;similata;amsi;openland;epigeal;3;Imago;macropter;spring;day-active;phytophagous;8.8;amsi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Carabidae;Amara;tibialis;amti;openland;epigeal;2;Imago;macropter;spring;day-active;phytophagous;5.3;amti;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Carabidae;Badister;bullatus;babu;edge;epigeal;3;Imago;macropter;spring;day-active;predator;5.4;babu;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carabidae;Carabus;auratus;caau;openland;epigeal;3;Imago;brachypter;spring;day-active;predator;23.5;caau;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;2;0;0;0;1;0;0;0;0;2;0;1;0;0;0;1;12;3;7;1;0;2;2;1;0;1
Carabidae;Carabus;coriaceus;cacr;woodland;epigeal;4;Larva/Imago;brachypter;autumn;night-active;predator;35;cacr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;4;1;4;0;0;1;2;6;1;2;0;0;1;0;1;3;1;1;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Carabidae;Carabus;convexus;cacv;openland;epigeal;2;Imago;brachypter;spring;night-active;predator;17;cacv;9;3;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;5;0;0;0;0;0;1;0;0;0;1;0
