Espece;"Taxonomy
English Name (BirdLife > IOC > Clements>AviList)";"Taxonomy
eBird/Clements (V2024b)";"Body Mass
Average Mass";"Habitat
Primary Habitat";Hab_wood;Hab_forest;"Habitat
HB";Primary Diet;Diet_invert;Diet_seed;Diet_omni;"Specialization
ESI";"Mobility
Mig";Mob_SDM;Mob_LDM;Tarsus.Length;Wing.Length;Mass;Mass.Source;Habitat;Migration;Trophic.Level;Trophic.Niche;Primary.Lifestyle
AEGCAU;Long-tailed Tit;Aegithalos caudatus;8.3;Forest;0;1;5;Invertebrate;1;0;0;1.301029996;SED;1;0;15.8;61.4;8.6;Dunning;Forest;1;Carnivore;Invertivore;Insessorial
ANTTRI;Tree Pipit;Anthus trivialis;26;Woodland;1;0;6;Invertebrate;1;0;0;0.920818754;LDM;0;1;20.6;86.1;23.33;Dunning;Woodland;3;Omnivore;Invertivore;Terrestrial
CARCAR;European Goldfinch;Carduelis carduelis;19;Woodland;1;0;9;Seed;0;1;0;0.443697499;SED;1;0;14.7;77.4;16;Dunning;Woodland;1;Herbivore;Granivore;Insessorial
CERBRA;Short-toed Treecreeper;Certhia brachydactyla;9;Forest;0;1;3;Invertebrate;1;0;0;1.22184875;SED;1;0;14.9;62.1;8.2;Dunning;Forest;1;Carnivore;Invertivore;Insessorial
COCCOC;Hawfinch;Coccothraustes coccothraustes;57.25;Woodland;1;0;5;Seed;0;1;0;0.698970004;SED;1;0;21;102;56.63;Dunning;Forest;2;Herbivore;Omnivore;Insessorial
COLOEN;Stock Dove;Columba oenas;300.25;Plains;1;0;4;Seed;0;1;0;0.920818754;SED;1;0;26.4;214.8;290.79;Dunning;Woodland;1;Herbivore;Omnivore;Terrestrial
COLPAL;Common Woodpigeon;Columba palumbus;487;Woodland;1;0;3;Seed;0;1;0;1.045757491;SED;1;0;31.5;246.4;490.0;Dunning;Woodland;1;Herbivore;Omnivore;Terrestrial
CORCOR;Carrion Crow;Corvus corone;527.8333333;Artificial;1;0;7;Carnivore;1;0;0;0.455931956;SED;1;0;59.4;323.9;570.0;Dunning;Human Modified;1;Carnivore;Omnivore;Terrestrial
CUCCAN;Common Cuckoo;Cuculus canorus;116.25;Forest;0;1;5;Invertebrate;1;0;0;1.301029996;LDM;0;1;21.4;192;111.36;Dunning;Forest;3;Carnivore;Invertivore;Insessorial
DENMAJ;Great Spotted Woodpecker;Dendrocopos major;82;Woodland;1;0;4;Omnivore;0;0;1;0.795880017;SED;1;0;23.9;136.2;74.94;Dunning;Woodland;1;Omnivore;Omnivore;Insessorial
DENMED;Middle Spotted Woodpecker;Dendrocoptes medius;67.5;Woodland;1;0;2;Invertebrate;1;0;0;1.096910013;SED;1;0;19.5;123.6;59;Dunning;Woodland;1;Carnivore;Invertivore;Insessorial
DENMIN;Lesser Spotted Woodpecker;Dryobates minor;21;Forest;0;1;4;Invertebrate;1;0;0;1.397940009;SED;1;0;14.3;90.2;19.8;Dunning;Forest;1;Carnivore;Invertivore;Insessorial
ERIRUB;European Robin;Erithacus rubecula;18.11666667;Forest;0;1;5;Invertebrate;1;0;0;0.823908741;SED;1;0;24.5;71.6;17.7;Dunning;Forest;3;Carnivore;Omnivore;Generalist
FICHYP;European Pied Flycatcher;Ficedula hypoleuca;14.21666667;Forest;0;1;4;Invertebrate;1;0;0;0.920818754;LDM;0;1;17.6;79.3;13.79;Dunning;Forest;3;Carnivore;Invertivore;Insessorial
FRICOE;Common Chaffinch;Fringilla coelebs;22.75;Woodland;1;0;3;Invertebrate;1;0;0;1.045757491;SED;1;0;17.8;85.9;23.81;Dunning;Forest;2;Omnivore;Invertivore;Generalist
GARGLA;Eurasian Jay;Garrulus glandarius;161.3333333;Woodland;1;0;4;Omnivore;0;0;1;0.795880017;SED;1;0;40.6;181.4;159.46;Dunning;Forest;2;Omnivore;Omnivore;Insessorial
ORIORI;Eurasian Golden Oriole;Oriolus oriolus;72;Woodland;1;0;7;Omnivore;0;0;1;0.552841969;LDM;0;1;23;147.1;79;Dunning;Woodland;3;Omnivore;Omnivore;Insessorial
PARATE;Coal Tit;Periparus ater;8.916666667;Forest;0;1;2;Invertebrate;1;0;0;1.22184875;SED;1;0;15.1;61.1;9.2;Dunning;Forest;1;Omnivore;Invertivore;Insessorial
PARCAE;Eurasian Blue Tit;Cyanistes caeruleus;11.38333333;Woodland;1;0;6;Invertebrate;1;0;0;0.744727495;SED;1;0;15.2;65.6;11.1;Updated_literature;Forest;1;Omnivore;Invertivore;Insessorial
PARCRI;Crested Tit;Lophophanes cristatus;11.81666667;Woodland;1;0;3;Invertebrate;1;0;0;0.920818754;SED;1;0;17.1;64;11.04;Dunning;Woodland;1;Omnivore;Invertivore;Insessorial
PARMAJ;Great Tit;Parus major;18.36666667;Forest;0;1;4;Invertebrate;1;0;0;0.920818754;SED;1;0;17.4;70.9;16.25;Dunning;Woodland;1;Omnivore;Invertivore;Insessorial
PARPAL;Marsh Tit;Poecile palustris;11.95;Forest;0;1;5;Invertebrate;1;0;0;0.823908741;SED;1;0;15.9;64.0;11.1;Dunning;Forest;1;Omnivore;Invertivore;Insessorial
PHOPHO;Common Redstart;Phoenicurus phoenicurus;15.5;Woodland;1;0;6;Invertebrate;1;0;0;0.920818754;LDM;0;1;21.6;77.9;14.6;Dunning;Woodland;3;Carnivore;Invertivore;Insessorial
PHYBON;Western Bonelli's Warbler;Phylloscopus bonelli;9.083333333;Forest;0;1;4;Invertebrate;1;0;0;1.397940009;LDM;0;1;18.2;63.5;8.7;Dunning;Forest;3;Carnivore;Invertivore;Insessorial
PHYCOL;Common Chiffchaff;Phylloscopus collybita;8.25;Forest;0;1;8;Invertebrate;1;0;0;1.096910013;SED;1;0;19.7;58.8;8.3;Dunning;Forest;3;Carnivore;Invertivore;Insessorial
PHYSIB;Wood Warbler;Phylloscopus sibilatrix;10.7;Forest;0;1;4;Invertebrate;1;0;0;1.096910013;LDM;0;1;18;75.8;9.2;Dunning;Forest;3;Carnivore;Invertivore;Insessorial
PHYTRO;Willow Warbler;Phylloscopus trochilus;9.533333333;Forest;0;1;8;Invertebrate;1;0;0;1.096910013;LDM;0;1;19.3;65.9;8.7;Dunning;Forest;3;Carnivore;Invertivore;Insessorial
PICVIR;Eurasian Green Woodpecker;Picus viridis;194;Forest;0;1;4;Invertebrate;1;0;0;1.397940009;SED;1;0;29.5;162.4;176;Dunning;Forest;1;Carnivore;Invertivore;Terrestrial
PRUMOD;Dunnock;Prunella modularis;19.9;Shrub;1;0;6;Invertebrate;1;0;0;0.920818754;SED;1;0;20.4;69.1;20.24;Dunning;Forest;1;Omnivore;Invertivore;Terrestrial
REGIGN;Common Firecrest;Regulus ignicapilla;6.35;Forest;0;1;4;Invertebrate;1;0;0;1.397940009;SED;1;0;16.5;52.3;5.6;Dunning;Forest;3;Carnivore;Invertivore;Insessorial
REGREG;Goldcrest;Regulus regulus;5.733333333;Forest;0;1;3;Invertebrate;1;0;0;1.522878745;SED;1;0;15;52.9;5.54;Dunning;Forest;3;Carnivore;Invertivore;Insessorial
SITEUR;Eurasian Nuthatch;Sitta europaea;21.51666667;Forest;0;1;6;Omnivore;0;0;1;0.744727495;SED;1;0;19.9;85.3;20.37;Dunning;Forest;1;Carnivore;Invertivore;Insessorial
STRTUR;European Turtle-dove;Streptopelia turtur;127.5;Woodland;1;0;4;Seed;0;1;0;0.920818754;LDM;0;1;22.3;170.7;132;Dunning;Woodland;3;Herbivore;Granivore;Terrestrial
STUVUL;Common Starling;Sturnus vulgaris;81.03333333;Artificial;1;0;6;Omnivore;0;0;1;0.522878745;SED;1;0;29;128.3;77.14;Dunning;Human Modified;2;Omnivore;Omnivore;Insessorial
SYLATR;Eurasian Blackcap;Sylvia atricapilla;19.31666667;Forest;0;1;7;Omnivore;0;0;1;0.552841969;SED;1;0;20.8;75.9;16.7;Dunning;Woodland;3;Omnivore;Omnivore;Insessorial
TROTRO;Northern Wren;Troglodytes troglodytes;9.1;Forest;0;1;6;Invertebrate;1;0;0;0.744727495;SED;1;0;17.7;47.7;9.74;Dunning;Forest;3;Carnivore;Invertivore;Insessorial
TURMER;Eurasian Blackbird;Turdus merula;106.6166667;Forest;0;1;6;Invertebrate;1;0;0;0.443697499;SED;1;0;33.6;131;102.73;Dunning;Forest;1;Omnivore;Omnivore;Generalist
TURPHI;Song Thrush;Turdus philomelos;73.83333333;Forest;0;1;6;Invertebrate;1;0;0;0.744727495;SED;1;0;31.8;116;67.74;Dunning;Forest;3;Omnivore;Invertivore;Generalist
TURVIS;Mistle Thrush;Turdus viscivorus;126.6666667;Forest;0;1;5;Omnivore;0;0;1;0.698970004;SED;1;0;32.7;153.7;117.37;Dunning;Forest;1;Omnivore;Omnivore;Insessorial
