plot	lat	lon	parcelle	placette	plotIBP	rs.conif	rs.decid	rs.gene	ab.conif	ab.decid	ab.gene
151.E	47.78006	5.57701	P15	P15-N1-E	15.R	1	42	2	1	431	13
152.S	47.77967	2.5763	P15	P15-N2-S	15.R	3	21	2	4	42	6
154.S	47.7783	2.57532	P15	P15-N4-S	154.S	0	40	1	0	107	6
2551.S	47.81405	2.4359	P255	P255-N1-S	2551.S	3	37	4	3	184	8
2554.S	47.81564	2.43532	P255	P255-N4-S	2554.S	6	22	2	13	170	2
501.S	47.7983	2.5604	P50	P50-N1-S	501.S	5	32	3	34	227	9
503.S	47.79945	2.56059	P50	P50-N3-S	503.S	3	29	4	5	255	8
1111.S	47.81644	2.48638	P111	P111-N1-S	1111.S	5	27	1	5	93	2
1112.S	47.81707	2.48881	P111	P111-N2-S	111.R	2	33	1	3	278	1
1113.S	47.81688	2.48998	P111	P111-N3-S	111.R	5	30	2	9	167	17
141.S	47.77997	2.57711	P14	P14-N1-S	na	0	33	3	0	132	3
142.S	47.77647	2.57676	P14	P14-N2-S	142.S	1	35	1	1	143	1
1444.E	47.83141	2.52784	P14	P14-N4-S	144.S	5	25	2	10	55	11
451.S	47.78148	2.54945	P45	P45-N1-S	45.R	0	31	1	0	158	1
454.S	47.78214	2.54993	P45	P45-N4-S	45.R	0	24	0	0	60	0
773.W	47.80252	2.52524	P77	P77-N3-W	773.W	0	19	0	0	34	0
774.S	47.80193	2.52418	P77	P77-N4-S	774.S	0	28	0	0	62	0
1101.S	47.81371	2.49362	P110	P110-N1-S	1101.S	6	31	1	8	76	8
1104.S	47.81472	2.49107	P110	P110-N4-S	1104.S	5	23	1	8	56	8
1662.S	47.82678	2.49153	P166	P166-N2-S	na	4	29	1	7	96	4
1663.S	47.82686	2.49259	P166	P166-N3-S	na	19	37	1	135	168	12
1664.S	47.82704	2.49346	P166	P166-N4-S	na	8	44	2	34	164	11
457.S	47.78222	2.553	P45	P45-N7-S	457.S	3	38	2	4	89	6
551.S	47.80716	2.56397	P55	P55-N1-S	na	4	30	2	5	90	5
554.S	47.80903	2.56547	P55	P55-N4-S	na	2	38	1	6	287	9
613.S	47.80185	2.54816	P61	P61-N3-S	61.R	1	31	1	1	111	1
614.S	47.80141	2.54869	P61	P61-N4-S	61.R	5	42	4	5	208	13
144.S	47.77742	2.57531	P144	P144-N3-S	1443.S	0	40	3	0	156	19
1443.S	47.83254	2.52767	P144	P144-N4-E	1444.E	7	32	3	20	90	21
2152.S	47.81005	2.44901	P215	P215-N2-S	215.R	7	34	2	21	136	5
2153.S	47.80968	2.44973	P215	P215-N3-S	215.R	7	27	2	21	148	4
2163.S	47.81469	5.45224	P216	P216-N3-S	216.R	5	31	1	31	126	5
2164.S	47.81396	2.45245	P216	P216-N4-S	216.R	5	30	2	12	145	4
2452.S	47.81114	2.44395	P245	P245-N2-S	245.R	9	28	1	61	107	12
2453.E	47.81145	2.44322	P245	P245-N3-E	245.R	5	22	2	35	153	3
2453.S	47.81145	2.44322	P245	P245-N3-S	245.R	7	31	2	36	170	12
751.S	47.80556	2.51974	P75	P75-N1-S	751.S	2	22	1	2	102	1
754.S	47.80526	2.51735	P75	P75-N4-S	754.S	1	26	2	1	65	3
1253.S	47.82404	2.51409	P125	P125-N3-S	125.R	10	23	1	44	66	15
1254.S	47.8246	2.51391	P125	P125-N4-S	125.R	7	21	1	43	66	18
1392.S	47.835	2.50369	P139	P139-N2-S	1392.S	6	25	1	36	78	20
1394.S	47.83583	2.50466	P139	P139-N4-S	1394.S	5	30	2	29	181	9
1622.S	47.83717	2.5003	P162	P162-N2-S	1622.S	13	39	1	58	166	11
1624.S	47.83839	2.50006	P162	P162-N4-S	1624.S	12	26	1	46	88	9
2182.S	47.81918	2.45679	P218	P218-N2-S	2182.S	9	27	2	41	70	11
2184.S	47.8181	2.45592	P218	P218-N4-S	2184.S	8	29	1	30	102	11
2191.S	47.81942	2.45966	P219	P219-N1-S	2191.S	6	21	1	41	71	17
2194.S	47.818	2.46135	P219	P219-N4-S	2194.S	10	24	1	75	93	11
