plot;Cryptarcha.undata;Cryptolestes.duplicatus;Dasytes.caeruleus;Eulagius.filicornis;Thymalus.limbatus;Anaspis.fasciata;Clytus.arietis;Grammoptera.abdominalis;Hylis.olexai;Hylurgus.ligniperda;Leiopus.nebulosus;Platystomos.albinus;Abdera.bifasciata;Aspidiphorus.orbiculatus;Calambus.bipustulatus;Glischrochilus.hortensis;Malthinus.sp.;Triplax.russica;Gastrallus.immarginatus;Trypodendron.domesticum;Silvanus.unidentatus;Soronia.punctatissima;Triplax.lepida;Cyclorhipidion.bodoanus;Ischnomera.cyanea;Stenagostus.rhombeus;Tritoma.bipustulata;Mesosa.nebulosa;Phymatodes.testaceus;Orthocis.vestitus;Gnathotrichus.materiarius;Melandrya.barbata;Mycetochara.maura;Stenurella.melanura;Megatoma.undata;Anaspis.garneysi;Nalassus.laevioctostriatus;Lissodema.denticolle;Rhizophagus.depressus;Cartodere.nodifer;Hylastes.opacus;Rutpela.maculata;Cortinicara.gibbosa;Pyrrhidium.sanguineum;Salpingus.planirostris;Salpingus.ruficollis;Hemicoelus.fulvicornis;Pityophthorus.pubescens;Taphrorychus.villifrons;Cerylon.ferrugineum;Glischrochilus.quadriguttatus;Platycerus.caraboides;Rhagium.mordax;Tropideres.albirostris;Ampedus.sanguinolentus;Clerus.mutillarius;Cortodera.humeralis;Microrhagus.pygmaeus;Anaspis.melanopa;Cerambyx.scopolii;Aplocnemus.impressus;Thanasimus.formicarius;Vincenzellus.ruficollis;Epuraea.sp.;Cis.micans;Isoriphis.melasoides;Xyleborus.monographus;Hylurgops.palliatus;Cryptarcha.strigata;Hylastes.attenuatus;Tomicus.piniperda;Enicmus.rugosus;Ampedus.quercicola;Litargus.connexus;Xylosandrus.germanus;Hylastes.linearis;Cetonia.aurata;Rhagium.sycophanta;Enicmus.testaceus;Ampedus.glycerus;Dacne.bipustulata;Scolytus.intricatus;Trypodendron.signatum;Ampedus.nigerrimus;Melasis.buprestoides;Xyleborus.dispar;Ampedus.balteatus;Melanotus.villosus;Rhizophagus.bipustulatus;Corticaria.sp.;Xyleborinus.saxesenii;Soronia.grisea
151.E;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;2;1;0;0;0;1;0;1;0;0;0;0;1;0;1;1;1;0;2;0;0;0;0;0;0;2;0;0;0;0;0;1;1;0;0;0;0;0;0;3;2;0;0;3;1;0;0;1;3;0;0;5;0;0;3;7;0;0;0;1;1;3;5;6;2;7;1;2;182;12;3;7;18;60;99
152.S;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;2;1;0;0;1;0;0;0;0;0;0;1;0;2;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;3;1;4;2;0;0;0;0;4;2;0;16;2;11
154.S;0;0;0;0;0;0;0;0;1;0;1;0;4;0;0;0;1;2;0;0;1;0;0;0;0;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;1;0;0;0;0;3;3;1;3;1;3;0;0;1;0;7;0;1;0;1;0;0;1;4;2;1;0;3;0;3;5;6;6;0;1;4;3;6;4;8;8;9;2
2551.S;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;3;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;2;0;0;0;17;0;0;0;1;0;0;6;0;0;0;1;0;1;0;0;1;2;8;0;2;1;1;0;7;1;0;0;1;1;0;2;1;42;2;2;4;8;2;3;2;19;28;25
2554.S;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;2;2;1;0;1;0;1;0;2;0;0;0;4;4;2;1;0;0;1;0;4;1;0;0;0;3;6;18;0;0;6;1;3;6;2;58;51
501.S;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;1;0;1;0;0;0;2;1;0;0;1;0;0;13;15;3;8;3;2;1;6;2;7;2;8;1;15;4;5;2;14;4;58;7;2;16;21;37;16
503.S;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;2;1;0;0;0;0;0;0;0;2;2;0;0;1;1;0;0;0;2;0;0;152;2;0;4;0;0;0;2;0;2;2;1;4;28;2;4;3;2;3;0;14;4;0;4;7;4;5
1111.S;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;3;1;0;0;0;0;0;0;0;3;0;0;0;7;0;0;0;1;0;0;0;0;1;0;0;0;3;0;1;1;0;2;2;1;8;2;0;4;1;11;0;2;4;0;0;1;2;4;1;27
1112.S;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;2;0;0;2;0;0;0;0;2;0;1;0;1;0;0;0;0;0;0;1;0;1;2;0;0;1;0;2;1;0;1;24;0;0;2;1;0;2;0;6;2;0;1;2;1;1;0;1;2;1;1;141;1;2;5;4;43;20
1113.S;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;1;1;1;1;1;0;1;0;0;99;1;3;0;3;0;1;1;0;1;1;12;0;3;0;0;3;0;2;3;1;16;7;0;2;2;14
